pedido_id,fecha_hora,cliente_id,cliente_nombre,items_cantidad,total,estado
PED001,2024-01-15 10:30:00,1,Juan Pérez,3,1180,CONFIRMADO
PED002,2024-01-15 14:20:00,2,María González,2,770,CONFIRMADO
PED003,2024-01-15 16:45:00,3,Carlos Rodríguez,4,1520,CONFIRMADO
PED004,2024-01-16 09:15:00,4,Ana Martínez,2,630,CONFIRMADO
PED005,2024-01-16 11:30:00,5,Luis Fernández,5,2150,CONFIRMADO
PED006,2024-01-16 15:20:00,1,Juan Pérez,1,450,BORRADOR
PED007,2024-01-17 08:45:00,6,Carmen López,3,980,CONFIRMADO
PED008,2024-01-17 12:10:00,7,Roberto Silva,2,700,CONFIRMADO
PED009,2024-01-17 17:30:00,8,Elena Morales,4,1680,CONFIRMADO
PED010,2024-01-18 10:00:00,9,Diego Ramírez,1,320,BORRADOR
